ENM_NFT_ADDRESS,DC_CREATOR_ADDRESS,DC_CREATOR_IS_CONTRACT_ADDRESS,TX_CREATOR_ADDRESS
0x6eeec1e9442a8023fbf94243c575db8f815e96bf,0x91e572c3637750e085e48b56559f1d984c904a6f,0,0x91e572c3637750e085e48b56559f1d984c904a6f
0x9f208eb7b8dfd87e4bc6714398a9e689388d6bac,0x2df727da5b2071d16b94abc56666591c65bc73fb,0,0x2df727da5b2071d16b94abc56666591c65bc73fb
0x60bb1e2aa1c9acafb4d34f71585d7e959f387769,0x23d7013e59e2bc06e29fef6168c7aa4005f30e1f,0,0x23d7013e59e2bc06e29fef6168c7aa4005f30e1f
0x600df00d3e42f885249902606383ecdcb65f2e02,0x09f5a4418238cf6b0210e28cac8a74043c86e3c9,0,0x09f5a4418238cf6b0210e28cac8a74043c86e3c9
0x8b8177ac56f22fdcf16df2671dcea62d74a38c97,0xa71d3c1947168b05cfb8fe0e9143b49bfbbccbb7,0,0xa71d3c1947168b05cfb8fe0e9143b49bfbbccbb7
0xf47f2257a1bd9b77d6d11cc7b9fd467a97ae7006,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x4639795adcd5cae1657ba00c5325ac9379727a95
0x43f5e4cfd18b3e88b95dba70a093d630d64ee326,0x822ec855cc9f41b592622108e6f3565e976430c6,0,0x822ec855cc9f41b592622108e6f3565e976430c6
0x9be2860d5045e57182fb9de79a868418caaa5a67,0x208833804d09cf965023f2bdb03d78e3056b4767,0,0x208833804d09cf965023f2bdb03d78e3056b4767
0xa65fd4e1b7c90ad4cf90cd01011257dcf55adbcd,0x43e47385f6b3f8bdbe02c210bf5c74b6c34ff441,0,0x43e47385f6b3f8bdbe02c210bf5c74b6c34ff441
0x2ca48ed4bd5a951108a3a4ae07feec6314a99236,0x9c60b15c19671dba2914e0a1f452bd850dd0d89d,0,0x9c60b15c19671dba2914e0a1f452bd850dd0d89d
0x6deed5cf156b13beb9197215270615a3d0bc55ee,0xa6eeddcd3a1a3cad0d0192ac50630afb2e75a112,0,0xa6eeddcd3a1a3cad0d0192ac50630afb2e75a112
0x4db52a61dc491e15a2f78f5ac001c14ffe3568cb,0x4b76837f8d8ad0a28590d06e53dcd44b6b7d4554,0,0x4b76837f8d8ad0a28590d06e53dcd44b6b7d4554
0x8777306f337e92625d96c747750d8432e671c725,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x767c3ce4d94c894c753cb77cc8522536ccf3df80
0x868ce3cedaeef5fc3da4527cdc0fa7f3d7617a88,0x1d1617acc8d03bfc2193c285d5d2a0a8a616895a,0,0x1d1617acc8d03bfc2193c285d5d2a0a8a616895a
0x211e8618c2f90722387c8c10a0a75e04f6ee1a38,0x061723e247dc58b10d1f5f1b6e536ab26ba4ce22,0,0x061723e247dc58b10d1f5f1b6e536ab26ba4ce22
0x59a57e4fa2638848766fad7b88c553146d8f4f95,0x6d03c0ed08f1ae86d731a427d6e58ad05365923e,0,0x6d03c0ed08f1ae86d731a427d6e58ad05365923e
0x3337b8d48fb0fad562a07de5580bd287cdb89d42,0x57b0caf44c36208470eb04d7bfc76c26a57d8408,0,0x57b0caf44c36208470eb04d7bfc76c26a57d8408
0xe9fc506f0a74c988fea4f8f8c907c9f47407df53,0x4438bb20f55746d3c476f7433c9cd2cbb3be6d03,0,0x4438bb20f55746d3c476f7433c9cd2cbb3be6d03
0x822ee3715e2c15372e45a4a62376bf786ff45511,0xf3dfc28f42f512b9c7426f618bcff0b9b4e16d7a,0,0xf3dfc28f42f512b9c7426f618bcff0b9b4e16d7a
0xaae860cbfca57f1806cfc00137ea386afd4c5a3b,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x90e2f65446b0db9089c0db3e58008fb3e57d6717
